"country_code","country","year","age","female","male","total","iso3","age_group"
258,"French Polynesia",2020,0,2278,2252,4530,"PYF","0-9"
258,"French Polynesia",2020,1,2056,2113,4169,"PYF","0-9"
258,"French Polynesia",2020,2,1902,2018,3920,"PYF","0-9"
258,"French Polynesia",2020,3,1808,1961,3769,"PYF","0-9"
258,"French Polynesia",2020,4,1766,1938,3704,"PYF","0-9"
258,"French Polynesia",2020,5,1767,1942,3709,"PYF","0-9"
258,"French Polynesia",2020,6,1802,1969,3771,"PYF","0-9"
258,"French Polynesia",2020,7,1864,2014,3878,"PYF","0-9"
258,"French Polynesia",2020,8,1943,2072,4015,"PYF","0-9"
258,"French Polynesia",2020,9,2032,2137,4169,"PYF","0-9"
258,"French Polynesia",2020,10,2139,2211,4350,"PYF","10-19"
258,"French Polynesia",2020,11,2270,2297,4567,"PYF","10-19"
258,"French Polynesia",2020,12,2337,2353,4690,"PYF","10-19"
258,"French Polynesia",2020,13,2299,2358,4657,"PYF","10-19"
258,"French Polynesia",2020,14,2197,2329,4526,"PYF","10-19"
258,"French Polynesia",2020,15,2105,2303,4408,"PYF","10-19"
258,"French Polynesia",2020,16,2000,2272,4272,"PYF","10-19"
258,"French Polynesia",2020,17,1943,2247,4190,"PYF","10-19"
258,"French Polynesia",2020,18,1967,2235,4202,"PYF","10-19"
258,"French Polynesia",2020,19,2041,2231,4272,"PYF","10-19"
258,"French Polynesia",2020,20,2104,2223,4327,"PYF","20-29"
258,"French Polynesia",2020,21,2180,2221,4401,"PYF","20-29"
258,"French Polynesia",2020,22,2203,2194,4397,"PYF","20-29"
258,"French Polynesia",2020,23,2139,2128,4267,"PYF","20-29"
258,"French Polynesia",2020,24,2026,2040,4066,"PYF","20-29"
258,"French Polynesia",2020,25,1924,1958,3882,"PYF","20-29"
258,"French Polynesia",2020,26,1809,1864,3673,"PYF","20-29"
258,"French Polynesia",2020,27,1770,1830,3600,"PYF","20-29"
258,"French Polynesia",2020,28,1853,1892,3745,"PYF","20-29"
258,"French Polynesia",2020,29,2010,2012,4022,"PYF","20-29"
258,"French Polynesia",2020,30,2150,2122,4272,"PYF","30-39"
258,"French Polynesia",2020,31,2297,2242,4539,"PYF","30-39"
258,"French Polynesia",2020,32,2386,2308,4694,"PYF","30-39"
258,"French Polynesia",2020,33,2376,2283,4659,"PYF","30-39"
258,"French Polynesia",2020,34,2302,2201,4503,"PYF","30-39"
258,"French Polynesia",2020,35,2241,2131,4372,"PYF","30-39"
258,"French Polynesia",2020,36,2184,2062,4246,"PYF","30-39"
258,"French Polynesia",2020,37,2118,2004,4122,"PYF","30-39"
258,"French Polynesia",2020,38,2050,1971,4021,"PYF","30-39"
258,"French Polynesia",2020,39,1982,1957,3939,"PYF","30-39"
258,"French Polynesia",2020,40,1909,1936,3845,"PYF","40-49"
258,"French Polynesia",2020,41,1821,1908,3729,"PYF","40-49"
258,"French Polynesia",2020,42,1784,1904,3688,"PYF","40-49"
258,"French Polynesia",2020,43,1826,1931,3757,"PYF","40-49"
258,"French Polynesia",2020,44,1916,1979,3895,"PYF","40-49"
258,"French Polynesia",2020,45,1997,2023,4020,"PYF","40-49"
258,"French Polynesia",2020,46,2087,2068,4155,"PYF","40-49"
258,"French Polynesia",2020,47,2130,2097,4227,"PYF","40-49"
258,"French Polynesia",2020,48,2092,2098,4190,"PYF","40-49"
258,"French Polynesia",2020,49,2004,2078,4082,"PYF","40-49"
258,"French Polynesia",2020,50,1923,2058,3981,"PYF","50-59"
258,"French Polynesia",2020,51,1833,2036,3869,"PYF","50-59"
258,"French Polynesia",2020,52,1767,2001,3768,"PYF","50-59"
258,"French Polynesia",2020,53,1746,1950,3696,"PYF","50-59"
258,"French Polynesia",2020,54,1750,1888,3638,"PYF","50-59"
258,"French Polynesia",2020,55,1744,1822,3566,"PYF","50-59"
258,"French Polynesia",2020,56,1740,1752,3492,"PYF","50-59"
258,"French Polynesia",2020,57,1703,1680,3383,"PYF","50-59"
258,"French Polynesia",2020,58,1615,1609,3224,"PYF","50-59"
258,"French Polynesia",2020,59,1494,1538,3032,"PYF","50-59"
258,"French Polynesia",2020,60,1378,1463,2841,"PYF","60-69"
258,"French Polynesia",2020,61,1253,1384,2637,"PYF","60-69"
258,"French Polynesia",2020,62,1161,1314,2475,"PYF","60-69"
258,"French Polynesia",2020,63,1126,1261,2387,"PYF","60-69"
258,"French Polynesia",2020,64,1124,1216,2340,"PYF","60-69"
258,"French Polynesia",2020,65,1116,1171,2287,"PYF","60-69"
258,"French Polynesia",2020,66,1116,1131,2247,"PYF","60-69"
258,"French Polynesia",2020,67,1080,1071,2151,"PYF","60-69"
258,"French Polynesia",2020,68,986,975,1961,"PYF","60-69"
258,"French Polynesia",2020,69,856,860,1716,"PYF","60-69"
258,"French Polynesia",2020,70,736,751,1487,"PYF","70+"
258,"French Polynesia",2020,71,610,637,1247,"PYF","70+"
258,"French Polynesia",2020,72,524,555,1079,"PYF","70+"
258,"French Polynesia",2020,73,502,523,1025,"PYF","70+"
258,"French Polynesia",2020,74,520,523,1043,"PYF","70+"
258,"French Polynesia",2020,75,533,520,1053,"PYF","70+"
258,"French Polynesia",2020,76,551,523,1074,"PYF","70+"
258,"French Polynesia",2020,77,546,506,1052,"PYF","70+"
258,"French Polynesia",2020,78,500,454,954,"PYF","70+"
258,"French Polynesia",2020,79,429,380,809,"PYF","70+"
258,"French Polynesia",2020,80,366,314,680,"PYF","70+"
258,"French Polynesia",2020,81,303,249,552,"PYF","70+"
258,"French Polynesia",2020,82,254,197,451,"PYF","70+"
258,"French Polynesia",2020,83,228,169,397,"PYF","70+"
258,"French Polynesia",2020,84,217,156,373,"PYF","70+"
258,"French Polynesia",2020,85,204,142,346,"PYF","70+"
258,"French Polynesia",2020,86,193,130,323,"PYF","70+"
258,"French Polynesia",2020,87,176,116,292,"PYF","70+"
258,"French Polynesia",2020,88,149,95,244,"PYF","70+"
258,"French Polynesia",2020,89,116,72,188,"PYF","70+"
258,"French Polynesia",2020,90,80,48,128,"PYF","70+"
258,"French Polynesia",2020,91,51,30,81,"PYF","70+"
258,"French Polynesia",2020,92,42,24,66,"PYF","70+"
258,"French Polynesia",2020,93,32,17,49,"PYF","70+"
258,"French Polynesia",2020,94,22,10,32,"PYF","70+"
258,"French Polynesia",2020,95,17,7,24,"PYF","70+"
258,"French Polynesia",2020,96,15,6,21,"PYF","70+"
258,"French Polynesia",2020,97,12,4,16,"PYF","70+"
258,"French Polynesia",2020,98,8,3,11,"PYF","70+"
258,"French Polynesia",2020,99,4,1,5,"PYF","70+"
258,"French Polynesia",2020,100,6,2,8,"PYF","70+"
